Date,Predicted Sales,Lower Estimate,Upper Estimate
2026-05-16,262112.4190835122,-55649.74661543579,563561.6933209716
2026-05-17,278121.90279365605,-37999.96563949641,573391.1696821295
2026-05-18,219678.30723842682,-83948.25641498441,527728.8871665514
2026-05-19,220304.43771744112,-81153.49134667458,543970.7897148099
2026-05-20,232446.7634083251,-52912.18290260652,538503.7885209437
2026-05-21,249437.36066832315,-68986.40721856801,567827.9392951124
2026-05-22,198609.81517787394,-101164.06864893806,509222.51497886237
2026-05-23,284009.4871728078,-36287.93334009742,583779.9665973018
2026-05-24,299234.28451332735,-22019.683724697054,615312.0096313849
2026-05-25,239682.74622217767,-64859.65749073592,548790.0172178195
2026-05-26,238941.32148845177,-84992.6766422871,523625.003545894
2026-05-27,249528.31606548582,-72050.04421263355,542122.591691784
2026-05-28,264853.7192080842,-65332.53969726325,575219.7195559031
2026-05-29,212332.76467268984,-88168.24062116763,508791.4670889204
2026-05-30,296093.69220352283,-9516.927453033833,588639.5264360415
2026-05-31,309815.9225978793,14718.216694508019,619965.464133942
2026-06-01,248975.52168965235,-51001.61376336705,570474.9570537105
2026-06-02,247229.91334216035,-89662.12999447658,558508.0828620404
2026-06-03,257159.38879814418,-55517.55391031497,579898.6699273422
2026-06-04,272224.69911543524,-45131.304784953645,586433.2778625546
2026-06-05,219878.6538476417,-94091.70607581068,515867.0075483706
2026-06-06,304272.2560109599,4127.88078506612,619324.1708927159
2026-06-07,319091.64208209154,26727.70873951272,620605.5273191632
2026-06-08,259802.74831138202,-40771.60642628148,573136.8937928185
2026-06-09,260035.69814769665,-73369.13415822735,553177.7227954398
2026-06-10,272326.48036719236,-37569.763802958376,565068.3312297221
2026-06-11,290075.2135018489,-31055.555475161505,560073.6788452825
2026-06-12,240658.91466970288,-78430.05803860535,548872.7455029907
2026-06-13,328139.28369346575,27978.58705039943,649704.1268106464
2026-06-14,346101.73822409584,22144.720336521685,643859.1926272436
2026-06-15,289902.57486102724,-28291.722838881222,601027.022850486
2026-06-16,293056.19250916305,-27786.02966686791,583356.8639169437
2026-06-17,307979.87809349026,-6493.218763300975,612529.2748056557
2026-06-18,327955.3715469378,7559.998939692484,620211.6333571194
2026-06-19,280245.04223863676,-27086.028578838996,617957.4547328007
2026-06-20,368803.0967733018,62116.31599047752,690486.5163303475
2026-06-21,387117.9602978205,73718.54671389768,686448.2639060373
2026-06-22,330462.61259699415,-6607.362259432163,626979.7155677666
2026-06-23,332284.723985833,7064.11552319607,649243.3790912782
2026-06-24,344954.00485742703,23714.43920651088,638020.1252520833
2026-06-25,361725.9070081052,32874.883770656874,660986.2888708247
2026-06-26,309859.4398538578,-10589.91009564705,616724.6687211519
2026-06-27,393329.46422788914,81524.39596231049,688421.933438678
