date,product,quantity,price,promotion,weekend,sales,day,month,year,day_of_week
2025-01-01,Tablet,16,18000,0,0,296679.82,1,1,2025,2
2025-01-02,Smartwatch,13,5000,0,0,65989.55,2,1,2025,3
2025-01-03,Headphones,19,3000,0,0,53742.91,3,1,2025,4
2025-01-04,Smartwatch,17,5000,0,1,82580.57,4,1,2025,5
2025-01-05,Smartwatch,4,5000,1,1,22398.26,5,1,2025,6
2025-01-06,Mobile,12,25000,0,0,302120.83,6,1,2025,0
2025-01-07,Headphones,9,3000,0,0,29614.18,7,1,2025,1
2025-01-08,Headphones,19,3000,0,0,54131.5,8,1,2025,2
2025-01-09,Headphones,12,3000,0,0,35878.23,9,1,2025,3
2025-01-10,Smartwatch,9,5000,1,0,64711.35,10,1,2025,4
2025-01-11,Tablet,7,18000,0,1,134637.72,11,1,2025,5
2025-01-12,Headphones,14,3000,0,1,44181.62,12,1,2025,6
2025-01-13,Smartwatch,19,5000,1,0,114190.02,13,1,2025,0
2025-01-14,Mobile,15,25000,0,0,375600.16,14,1,2025,1
2025-01-15,Tablet,16,18000,0,0,291067.59,15,1,2025,2
2025-01-16,Mobile,5,25000,0,0,119886.04,16,1,2025,3
2025-01-17,Tablet,3,18000,0,0,52713.12,17,1,2025,4
2025-01-18,Smartwatch,12,5000,0,1,51657.08,18,1,2025,5
2025-01-19,Laptop,4,55000,0,1,221996.12,19,1,2025,6
2025-01-20,Tablet,16,18000,0,0,291235.98,20,1,2025,0
2025-01-21,Mobile,7,25000,1,0,207584.07,21,1,2025,1
2025-01-22,Smartwatch,13,5000,0,0,72869.93,22,1,2025,2
2025-01-23,Tablet,10,18000,0,0,173871.17,23,1,2025,3
2025-01-24,Laptop,7,55000,0,0,377678.13,24,1,2025,4
2025-01-25,Laptop,14,55000,0,1,771122.26,25,1,2025,5
2025-01-26,Headphones,5,3000,0,1,20235.49,26,1,2025,6
2025-01-27,Headphones,3,3000,0,0,17419.64,27,1,2025,0
2025-01-28,Mobile,11,25000,1,0,327705.58,28,1,2025,1
2025-01-29,Tablet,11,18000,0,0,203393.4,29,1,2025,2
2025-01-30,Tablet,18,18000,0,0,323807.46,30,1,2025,3
2025-01-31,Headphones,15,3000,0,0,44136.86,31,1,2025,4
2025-02-01,Tablet,12,18000,1,1,263618.3,1,2,2025,5
2025-02-02,Tablet,9,18000,0,1,165261.61,2,2,2025,6
2025-02-03,Laptop,10,55000,0,0,542118.04,3,2,2025,0
2025-02-04,Headphones,12,3000,0,0,43382.7,4,2,2025,1
2025-02-05,Smartwatch,17,5000,1,0,108900.46,5,2,2025,2
2025-02-06,Headphones,6,3000,0,0,14872.19,6,2,2025,3
2025-02-07,Smartwatch,7,5000,1,0,43979.02,7,2,2025,4
2025-02-08,Laptop,14,55000,0,1,772470.15,8,2,2025,5
2025-02-09,Mobile,13,25000,0,1,326303.37,9,2,2025,6
2025-02-10,Tablet,8,18000,0,0,141248.47,10,2,2025,0
2025-02-11,Laptop,10,55000,0,0,546641.88,11,2,2025,1
2025-02-12,Tablet,9,18000,0,0,161872.23,12,2,2025,2
2025-02-13,Mobile,18,25000,0,0,455863.65,13,2,2025,3
2025-02-14,Mobile,2,25000,1,0,62718.0,14,2,2025,4
2025-02-15,Laptop,5,55000,0,1,273146.93,15,2,2025,5
2025-02-16,Mobile,5,25000,0,1,128858.49,16,2,2025,6
2025-02-17,Smartwatch,6,5000,0,0,15757.29,17,2,2025,0
