date,product,quantity,price,promotion,weekend,sales
2025-01-01,Tablet,16,18000,0,0,296679.82
2025-01-02,Smartwatch,13,5000,0,0,65989.55
2025-01-03,Headphones,19,3000,0,0,53742.91
2025-01-04,Smartwatch,17,5000,0,1,82580.57
2025-01-05,Smartwatch,4,5000,1,1,22398.26
2025-01-06,Mobile,12,25000,0,0,302120.83
2025-01-07,Headphones,9,3000,0,0,29614.18
2025-01-08,Headphones,19,3000,0,0,54131.5
2025-01-09,Headphones,12,3000,0,0,35878.23
2025-01-10,Smartwatch,9,5000,1,0,64711.35
2025-01-11,Tablet,7,18000,0,1,134637.72
2025-01-12,Headphones,14,3000,0,1,44181.62
2025-01-13,Smartwatch,19,5000,1,0,114190.02
2025-01-14,Mobile,15,25000,0,0,375600.16
2025-01-15,Tablet,16,18000,0,0,291067.59
2025-01-16,Mobile,5,25000,0,0,119886.04
2025-01-17,Tablet,3,18000,0,0,52713.12
2025-01-18,Smartwatch,12,5000,0,1,51657.08
2025-01-19,Laptop,4,55000,0,1,221996.12
2025-01-20,Tablet,16,18000,0,0,291235.98
2025-01-21,Mobile,7,25000,1,0,207584.07
2025-01-22,Smartwatch,13,5000,0,0,72869.93
2025-01-23,Tablet,10,18000,0,0,173871.17
2025-01-24,Laptop,7,55000,0,0,377678.13
2025-01-25,Laptop,14,55000,0,1,771122.26
2025-01-26,Headphones,5,3000,0,1,20235.49
2025-01-27,Headphones,3,3000,0,0,17419.64
2025-01-28,Mobile,11,25000,1,0,327705.58
2025-01-29,Tablet,11,18000,0,0,203393.4
2025-01-30,Tablet,18,18000,0,0,323807.46
2025-01-31,Headphones,15,3000,0,0,44136.86
2025-02-01,Tablet,12,18000,1,1,263618.3
2025-02-02,Tablet,9,18000,0,1,165261.61
2025-02-03,Laptop,10,55000,0,0,542118.04
2025-02-04,Headphones,12,3000,0,0,43382.7
2025-02-05,Smartwatch,17,5000,1,0,108900.46
2025-02-06,Headphones,6,3000,0,0,14872.19
2025-02-07,Smartwatch,7,5000,1,0,43979.02
2025-02-08,Laptop,14,55000,0,1,772470.15
2025-02-09,Mobile,13,25000,0,1,326303.37
2025-02-10,Tablet,8,18000,0,0,141248.47
2025-02-11,Laptop,10,55000,0,0,546641.88
2025-02-12,Tablet,9,18000,0,0,161872.23
2025-02-13,Mobile,18,25000,0,0,455863.65
2025-02-14,Mobile,2,25000,1,0,62718.0
2025-02-15,Laptop,5,55000,0,1,273146.93
2025-02-16,Mobile,5,25000,0,1,128858.49
