ds,yhat,yhat_lower,yhat_upper
2025-01-01,218789.67226933772,-94819.36241261063,545625.5947486194
2025-01-02,232873.10813425767,-92713.74458177699,545970.4828721081
2025-01-03,179398.99006093625,-146268.84221303312,493898.6265120622
2025-01-04,262206.11633885093,-76120.10711302895,554854.5547245971
2025-01-05,275132.13625336863,-33823.2459805176,616538.7522925128
2025-01-06,213615.99854008068,-123052.83125735306,522154.36943345185
2025-01-07,211115.8509422184,-114364.78593209317,512663.94928209385
2025-01-08,218766.37682529332,-102002.65453418226,541480.2882030666
2025-01-09,232849.8126901835,-70756.27730044149,522094.4196334347
2025-01-10,179375.69461691915,-132982.7202286735,482693.4143788336
2025-01-11,262182.8208948318,-60395.96567538428,581068.4336769424
2025-01-12,275108.84080932895,-57633.52133757715,595335.8262558809
2025-01-13,213592.70309596127,-87452.7620560121,508855.48213899374
2025-01-14,211092.5554981184,-99042.65229446252,534003.7233074511
2025-01-15,218743.08138124895,-108483.43779950743,547107.2210996596
2025-01-16,232826.51724610318,-80001.39846838432,540823.6444851134
2025-01-17,179352.3991728154,-138364.20204847073,509617.0037104388
2025-01-18,262159.5254172195,-51691.204318889526,579110.518374743
2025-01-19,275085.54529874056,-7350.848937620513,592841.0179210062
2025-01-20,213569.40755232604,-92775.83417672463,528348.868801927
2025-01-21,211069.2599212634,-100510.73431353722,509950.6505901247
2025-01-22,218719.7857710696,-88879.64558309184,516036.47437833884
2025-01-23,232803.2216027488,-80471.83159710819,554930.5050839593
2025-01-24,179329.10349631179,-132916.91179892598,502490.3496530329
2025-01-25,262136.229740816,-58427.013772289574,580006.2996094301
2025-01-26,275062.2496222144,-39466.95454575582,604918.2496654297
2025-01-27,213546.11187572018,-77722.48209761783,560563.5407051333
2025-01-28,211045.9642446642,-95023.25266713934,528966.8817678621
2025-01-29,218696.49009453875,-106099.16063666549,540115.5516424716
2025-01-30,232779.92592618812,-96574.25646615923,527013.0362428908
2025-01-31,179305.80781974818,-132949.98139643838,498835.6076645934
2025-02-01,262112.93406431034,-54568.38187384824,547762.1982883909
2025-02-02,275038.9539458061,-34143.625220975504,606721.8577577022
2025-02-03,213522.8162167691,-100460.40554214559,524850.0172187968
2025-02-04,211022.6686034818,-130486.75100945286,509149.9034732585
2025-02-05,218673.1944710213,-111311.02689194708,507601.6972769724
2025-02-06,232756.63032024054,-100127.1695479,553498.2008207823
2025-02-07,179282.51223151857,-148590.79408638398,468687.94083328196
2025-02-08,262089.63849373354,-39045.82524682051,604116.4626948243
2025-02-09,275015.6583928636,-42528.84973941433,574698.4451381216
2025-02-10,213499.52066386808,-83017.19570912329,549270.8458671505
2025-02-11,210999.3730505734,-107703.81341025239,518607.32591639744
2025-02-12,218649.89891807406,-92499.05308541372,527324.6451059177
2025-02-13,232733.33476743576,-69428.51164133349,557054.726075136
2025-02-14,179259.2166785986,-125972.99445586532,470231.55005697516
2025-02-15,262066.34294091363,-55079.6686026045,569565.6150595179
2025-02-16,274992.36283979705,-46106.09216099912,579154.0029021668
2025-02-17,213476.22511084581,-113533.75291124696,524454.3088881669
2025-02-18,210976.07749755785,-107289.42763963818,525657.6958364947
2025-02-19,218626.60336253216,-96116.65254511966,533865.8163162832
2025-02-20,232710.0392092634,-76232.76386638614,560161.3723638935
2025-02-21,179235.92111780815,-135170.5764484529,505003.3197675086
2025-02-22,262043.04737761314,-64102.46245760247,567501.2575687208
2025-02-23,274969.0672738814,-63862.837656680786,597246.818355507
2025-02-24,213452.92954250524,-93422.77651409041,537545.4405585587
2025-02-25,210952.78192648708,-103152.52134491624,543887.966016304
2025-02-26,218603.30779147163,-116153.06759475668,511848.0548744588
2025-02-27,232686.74363812403,-98187.43191458548,557465.6948430835
2025-02-28,179212.62554672585,-136243.41830644922,510652.3027267596
2025-03-01,262019.7518062501,-58855.60222175847,566320.7361762956
2025-03-02,274945.7717027765,-53553.953424509105,588860.0842599696
